**** cs stats ****
                                   count                 mean                  std                  min                  25%                  50%                  75%                  max
CS-Baa-3MO-Price              355.000000           990.148276             4.204853           971.789997           987.804917           990.098210           993.271901           998.223204
CS-Aaa-1YR-Price              355.000000           976.504011            10.809957           935.334708           968.937239           976.884725           984.975893           998.214926
CS-Aa-1YR-Price               355.000000           976.545034            11.411859           929.623692           969.333784           977.482871           985.215223           997.593322
CS-A-1YR-Price                355.000000           972.215612            13.326979           914.077876           965.111791           972.853313           982.925621           994.971291
CS-Baa-1YR-Price              355.000000           964.641579            15.566740           901.724478           955.778740           964.735264           977.039948           990.625281
CS-Aaa-5YR-Price              355.000000           937.868818            27.014635           770.723538           927.460161           942.101200           955.958744           969.128646
CS-Aa-5YR-Price               355.000000           938.257744            33.293067           745.235408           927.350276           944.230748           958.410333           987.551221
CS-A-5YR-Price                355.000000           917.739443            42.007406           687.345294           904.337466           929.440950           945.859708           961.642766
CS-Baa-5YR-Price              355.000000           882.557344            49.772360           631.115709           861.162127           895.952466           915.218460           946.534720
**** cs stats p1 diff ****
                                   count                 mean                  std                  min                  25%                  50%                  75%                  max
Corp-Aaa_Corp                 354.000000            -0.018189             0.292125            -1.964417            -0.159983            -0.033039             0.112479             2.020668
Corp-Aa_Corp                  354.000000            -0.022914             0.264786            -1.539801            -0.165577            -0.023315             0.120167             1.303770
Corp-A_Corp                   354.000000            -0.018860             0.264260            -1.349763            -0.159352            -0.030412             0.123453             1.667747
Corp-Baa_Corp                 354.000000            -0.018638             0.286494            -0.969348            -0.158527            -0.022591             0.134709             2.524043
TB-3MO-TY                     354.000000            -0.016723             0.205631            -1.400000            -0.050000             0.000000             0.070000             0.520000
TB-1YR-TY                     354.000000            -0.017175             0.216355            -1.230000            -0.100000             0.000000             0.097500             0.730000
TB-5YR-TY                     354.000000            -0.018390             0.272088            -0.870000            -0.180000            -0.022500             0.140000             0.920000
Econ-UNRATE                   354.000000            -0.004520             0.154193            -0.500000            -0.100000             0.000000             0.100000             0.500000
Econ-DSPIC96                  354.000000            23.218362            79.877621          -749.500000             1.400000            25.200000            45.750000           551.200000
Econ-CPIAUCSL                 354.000000             0.362412             0.514540            -3.842000             0.161500             0.378500             0.600000             2.700000
Econ-CPILFESL                 354.000000             0.371412             0.164835            -0.248000             0.300000             0.400000             0.500000             0.900000
Econ-INDPRO                   354.000000             0.129593             0.582273            -4.368700            -0.157075             0.169650             0.482125             1.782400
Econ-PCE                      354.000000            30.944068            34.104423          -139.500000            14.625000            30.750000            48.250000           195.600000
Market-SP500                  354.000000             7.329294            54.330317          -253.319800           -14.530000            10.004900            40.505000           197.250000
Market-SP500-change           354.000000            -0.007523             5.751408           -13.561200            -3.686200            -0.037450             3.166450            20.819300
Market-RMRF                   354.000000             0.009200             5.764667           -13.561200            -3.699800            -0.056600             3.318800            20.959300
CS-Aaa-3MO                    354.000000            -0.001466             0.318651            -1.914000            -0.156250            -0.035500             0.116500             2.821000
CS-Aa-3MO                     354.000000            -0.006192             0.299783            -1.639000            -0.157750            -0.023500             0.124250             2.104000
